Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JCS,"Communications Systems, Inc.",4.35,38902058.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
ESXB,Community Bankers Trust Corporation.,8.15,179061800,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CFBI,"Community First Bancshares, Inc.",13.55,102143287.5,n/a,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbi
CYHHZ,"Community Health Systems, Inc.",0.023,0,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CTBI,"Community Trust Bancorp, Inc.",42.65,753412292.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,10.1301,82085608.38,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
CVLT,"Commvault Systems, Inc.",58.5,2629418630,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CPSI,"Computer Programs and Systems, Inc.",33.15,448718499.5,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.7,88425576.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CHCI,"Comstock Holding Companies, Inc.",2.04,7020141.84,n/a,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,Comtech Telecommunications Corp.,19.29,454667537.6,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNAT,Conatus Pharmaceuticals Inc.,5.59,167605305.4,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,"Concert Pharmaceuticals, Inc.",14.66,330772114,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CCUR,Concurrent Computer Corporation,6.78,66807143.58,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CDOR,"Condor Hospitality Trust, Inc.",10.48,121093161.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CFMS,"ConforMIS, Inc.",4.14,181541455,n/a,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms
CNFR,"Conifer Holdings, Inc.",6.9,52668176.1,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr
CNMD,CONMED Corporation,51.18,1426477854,n/a,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",58.28,641889858.9,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",22.35,715322276.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CNXR,"Connecture, Inc.",0.8,18096084,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
CONN,"Conn&#39;s, Inc.",17.4,539641981.8,n/a,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,"Consolidated Communications Holdings, Inc.",20.57,1043584248,n/a,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CNACU,Constellation Alpha Capital Corp.,10.05,0,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacu
CPSS,"Consumer Portfolio Services, Inc.",4.69,108533241,n/a,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CFRX,ContraFect Corporation,1.45,60401208.7,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CTRV,ContraVir Pharmaceuticals Inc,0.6241,47248955.89,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,Control4 Corporation,20.11,489501672.8,n/a,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPAA,Conyers Park Acquisition Corp.,11.73,590165625,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cpaa
CPAAU,Conyers Park Acquisition Corp.,12.875,0,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cpaau
CPAAW,Conyers Park Acquisition Corp.,2.72,0,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cpaaw
CPRT,"Copart, Inc.",31.45,7243917058,n/a,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",6.3,316373463,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,Corcept Therapeutics Incorporated,12.36,1398997030,n/a,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
CORE,"Core-Mark Holding Company, Inc.",32.79,1518797321,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORI,"Corium International, Inc.",7.3,260407731.6,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CSOD,"Cornerstone OnDemand, Inc.",36.52,2075096419,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRVL,CorVel Corp.,48.1,902104148.4,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
CRVS,"Corvus Pharmaceuticals, Inc.",12.13,253935654.8,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs
CSGP,"CoStar Group, Inc.",263.94,8643717480,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,Costco Wholesale Corporation,160.2,70262653068,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
ICBK,"County Bancorp, Inc.",25.45,168456578.6,n/a,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/icbk
COUP,Coupa Software Incorporated,30.3,1605513584,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CVTI,"Covenant Transportation Group, Inc.",18,328912020,n/a,1994,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COVS,Covisint Corporation,2.45,100121447.7,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/covs
COWN,Cowen Inc.,16.4,487883386.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
COWNL,Cowen Inc.,27.1067,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownl
PMTS,CPI Card Group Inc.,2.35,130094239.9,n/a,2015,Finance,Finance Companies,http://www.nasdaq.com/symbol/pmts
CPSH,CPS Technologies Corp.,1.18,15580054.48,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh
CRAI,"CRA International,Inc.",34.52,296004339.8,n/a,1998,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,"Cracker Barrel Old Country Store, Inc.",165.57,3980728812,n/a,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,"Craft Brew Alliance, Inc.",17.2,331315051.6,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,Cray Inc,18.15,731205492.6,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,Credit Acceptance Corporation,253.06,4907378744,n/a,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
CREE,"Cree, Inc.",25.29,2460420374,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CROX,"Crocs, Inc.",7.6,563043773.2,n/a,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,"Cross Country Healthcare, Inc.",12.61,459428389.6,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CRDS,"Crossroads Systems, Inc.",1.72,2107811.84,n/a,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
CRWS,"Crown Crafts, Inc.",6.75,67889907,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CYRX,"CryoPort, Inc.",4.543,108921537,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",1.4,0,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrxw
CSGS,"CSG Systems International, Inc.",40.91,1382168364,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CCLP,CSI Compressco LP,4.26,146948580.7,n/a,2011,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CSPI,CSP Inc.,10.57,41445847.31,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSWI,"CSW Industrials, Inc.",37.55,596671527.7,n/a,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CSX,CSX Corporation,53.12,49009641278,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTIC,CTI BioPharma Corp.,3.4,96537862.6,n/a,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic
CTIB,CTI Industries Corporation,5.88,20728334.76,n/a,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CUNB,CU Bancorp (CA),35.8,638437080.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb
CUI,"CUI Global, Inc.",3.67,76929306.88,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui
CPIX,Cumberland Pharmaceuticals Inc.,6.9,110634261.9,n/a,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpix
CMLS,Cumulus Media Inc.,0.4316,12648631.02,n/a,1998,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cmls
CRIS,"Curis, Inc.",2.22,319175429.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cris
CUTR,"Cutera, Inc.",25.9,358939060.9,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cutr
CVBF,CVB Financial Corporation,21.72,2392209458,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf
CVV,CVD Equipment Corporation,10.67,67868562.3,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CYAN,Cyanotech Corporation,3.3395,18986329.85,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cyan
CYBE,CyberOptics Corporation,23.5,163163719.5,n/a,1987,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/cybe
CYCC,"Cyclacel Pharmaceuticals, Inc.",4.1752,17840408.31,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cycc
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.2,2078692.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp
CBAY,CymaBay Therapeutics Inc.,5.55,159576103.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbay
CY,Cypress Semiconductor Corporation,13.47,4437531220,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CYRN,CYREN Ltd.,2,78370252,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn
CONE,CyrusOne Inc,58.76,5154774178,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone
CYTK,"Cytokinetics, Incorporated",13.9,627625991.1,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk
CTMX,"CytomX Therapeutics, Inc.",14.9,547571006.8,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx
CYTX,Cytori Therapeutics Inc,1.08,35076457.08,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx
CYTXW,Cytori Therapeutics Inc,0.3985,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw
CTSO,Cytosorbents Corporation,4.25,119460623.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso
CYTR,CytRx Corporation,0.672,102180837.7,n/a,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr
DJCO,Daily Journal Corp. (S.C.),209.9999,289956521.9,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco
DAKT,"Daktronics, Inc.",9.68,427697886.9,n/a,1994,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt
DZSI,"DASAN Zhone Solutions, Inc.",6.1,19980769.6,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/dzsi
DSKE,"Daseke, Inc.",10.31,388851547.6,n/a,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dske
DSKEW,"Daseke, Inc.",1.04,0,n/a,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dskew
DAIO,Data I/O Corporation,8.9199,71791957.87,n/a,1981,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio
DWCH,Datawatch Corporation,8.65,104013162,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",67.84,2813920435,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play
DFNL,Davis Select Financial ETF,21.37,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfnl
DUSA,Davis Select U.S. Equity ETF,20.85,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dusa
DWLD,Davis Select Worldwide ETF,22.31,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwld
DWSN,Dawson Geophysical Company,4.25,92153306.75,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",16.5,360101379,n/a,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg
TACO,"Del Taco Restaurants, Inc.",13.84,533101603.7,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco
TACOW,"Del Taco Restaurants, Inc.",4.07,0,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow
DCTH,"Delcath Systems, Inc.",0.2216,37202923.99,n/a,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dcth
DGAS,"Delta Natural Gas Company, Inc.",30.35,216349094.9,n/a,1981,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/dgas
DENN,Denny&#39;s Corporation,11.57,808321933,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn
XRAY,DENTSPLY SIRONA Inc.,64.07,14686760206,n/a,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
DEPO,"Depomed, Inc.",10.97,683882547.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo
DERM,"Dermira, Inc.",30.45,1264316003,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm
DEST,Destination Maternity Corporation,4.55,63637114.45,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dest
DXLG,"Destination XL Group, Inc.",2.65,131290076.3,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dxlg
DTRM,"Determine, Inc. ",2.745,32985986.99,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm
DXCM,"DexCom, Inc.",77.75,6715242387,n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm
DXTR,Dextera Surgical Inc.,0.261,3767182.911,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxtr
DHIL,"Diamond Hill Investment Group, Inc.",196.9,677565782.3,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil
FANG,"Diamondback Energy, Inc.",87.3,8566578154,n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang
DRNA,"Dicerna Pharmaceuticals, Inc.",3.3016,140178352.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drna
DFBG,Differential Brands Group Inc.,2,26662042,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dfbg
DFFN,Diffusion Pharmaceuticals Inc.,2.67,27622850.79,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dffn
DGII,Digi International Inc.,9.95,264046503.2,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
DGLT,"Digiliti Money Group, Inc.",3.302,32614778.56,n/a,n/a,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/dglt
DMRC,Digimarc Corporation,41.2,440746682,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DRAD,Digirad Corporation,3.95,78913036.8,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/drad
DGLY,"Digital Ally, Inc.",3.35,19027098.85,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly
APPS,"Digital Turbine, Inc.",1.08,71929388.88,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps
DCOM,"Dime Community Bancshares, Inc.",19.45,731974414.7,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom
DMTX,"Dimension Therapeutics, Inc.",1.55,38817434.3,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dmtx
DIOD,Diodes Incorporated,24.91,1204980323,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DISCA,"Discovery Communications, Inc.",26.2,10075805578,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca
DISCB,"Discovery Communications, Inc.",26.65,10248863308,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
DISCK,"Discovery Communications, Inc.",25.44,9783530302,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck
DISH,DISH Network Corporation,63.85,29748278157,n/a,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish
